_sheet,ID,Name,Tactics,Has group-specific description
Sheet1,T1588.002,Tool,Resource Development,yes
Sheet1,T1078,Valid Accounts,Stealth; Persistence; Privilege Escalation; Initial Access,yes
Sheet1,T1190,Exploit Public-Facing Application,Initial Access,yes
Sheet1,T1566,Phishing,Initial Access,yes
Sheet1,T1047,Windows Management Instrumentation,Execution,yes
Sheet1,T1059.003,Windows Command Shell,Execution,yes
Sheet1,T1569.002,Service Execution,Execution,yes
Sheet1,T1036.005,Match Legitimate Resource Name or Location,Stealth,yes
Sheet1,T1070.004,File Deletion,Stealth,yes
Sheet1,T1685,Disable or Modify Tools,Defense Impairment,yes
Sheet1,T1046,Network Service Discovery,Discovery,yes
Sheet1,T1049,System Network Connections Discovery,Discovery,yes
Sheet1,T1069.002,Domain Groups,Discovery,yes
Sheet1,T1087.002,Domain Account,Discovery,yes
Sheet1,T1135,Network Share Discovery,Discovery,yes
Sheet1,T1021.001,Remote Desktop Protocol,Lateral Movement,yes
Sheet1,T1570,Lateral Tool Transfer,Lateral Movement,yes
Sheet1,T1074,Data Staged,Collection,yes
Sheet1,T1560.001,Archive via Utility,Collection,yes
Sheet1,T1071,Application Layer Protocol,Command & Control,yes
Sheet1,T1105,Ingress Tool Transfer,Command & Control,yes
Sheet1,T1219,Remote Access Tools,Command & Control,yes
Sheet1,T1537,Transfer Data to Cloud Account,Exfiltration,yes
Sheet1,T1486,Data Encrypted for Impact,Impact,yes
Sheet1,T1657,Financial Theft,Impact,yes
